title;dir;price;Size;rooms;bathrooms;parking
Apartamento en Venta;El Poblado - Medellín;560.000.000;71;2;2;1
Apartamento en Venta;El Poblado - Medellín;730.000.000;126;3;3;2
Apartamento en Venta;El Poblado - Medellín;375.000.000;78;3;3;2
Apartamento en Venta;El Poblado - Medellín;890.000.000;320;3;5;
Apartamento en Venta;El Poblado - Medellín;760.000.000;127;3;3;2
Apartamento en Venta;El Poblado - Medellín;390.000.000;137;4;3;
Apartamento en Venta;El Poblado - Medellín;980.000.000;167;3;4;3
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;1.050.000.000;212;4;3;2
Apartamento en Venta;El Poblado - Medellín;595.000.000;137;3;3;2
Apartamento en Venta;El Poblado - Medellín;800.000.000;180;3;2;2
Casa en Venta;El Poblado - Medellín;1.240.000.000;248;4;5;2
Apartamento en Venta;El Poblado - Medellín;435.000.000;100;3;3;2
Apartamento en Venta;El Poblado - Medellín;660.000.000;102;3;3;2
Apartamento en Venta;El Poblado - Medellín;680.000.000;111;3;3;2
Apartamento en Venta;El Poblado - Medellín;380.000.000;88;4;3;1
Apartamento en Venta;El Poblado - Medellín;900.000.000;330;5;6;3
Apartamento en Venta;El Poblado - Medellín;490.000.000;90;1;2;1
Apartaestudio en Venta;El Poblado - Medellín;340.000.000;56;1;2;1
Apartamento en Venta;El Poblado - Medellín;375.000.000;69;2;2;1
Apartamento en Venta;El Poblado - Medellín;295.000.000;70;2;2;1
Apartamento en Venta;El Poblado - Medellín;665.000.000;100;2;2;2
Apartamento en Venta;El Poblado - Medellín;1.450.000.000;240;3;3;2
Casa en Venta;El Poblado - Medellín;895.000.000;398;4;4;2
Apartamento en Venta;El Poblado - Medellín;590.000.000;110;3;2;2
Apartamento en Venta;El Poblado - Medellín;470.000.000;92;2;2;1
Apartamento en Venta;El Poblado - Medellín;540.000.000;78;2;2;1
Apartamento en Venta;El Poblado - Medellín;530.000.000;90;2;3;1
Casa en Venta;El Poblado - Medellín;2.250.000.000;400;3;4;4
Casa en Venta;El Poblado - Medellín;930.000.000;171;3;2;2
Apartamento en Venta;El Poblado - Medellín;470.000.000;120;4;4;2
Apartamento en Venta;El Poblado - Medellín;730.000.000;126;3;4;2
Oficina en Venta;El Poblado - Medellín;420.000.000;57;;2;2
Apartamento en Venta;El Poblado - Medellín;580.000.000;137;3;2;1
Apartaestudio en Venta;El Poblado - Medellín;980.000.000;185;4;2;
Apartamento en Venta;El Poblado - Medellín;650.000.000;155;3;3;2
Apartamento en Venta;El Poblado - Medellín;650.000.000;131;3;3;2
Oficina en Venta;El Poblado - Medellín;126.000.000;15;;;
Oficina en Venta;El Poblado - Medellín;175.000.000;21;;1;
Casa en Venta;El Poblado - Medellín;4.700.000.000;458;5;5;2
Casa en Venta;El Poblado - Medellín;4.700.000.000;1.150;6;8;6
Apartamento en Venta;El Poblado - Medellín;690.000.000;137;3;4;1
Apartamento en Venta;El Poblado - Medellín;560.000.000;96;3;2;1
Apartamento en Venta;El Poblado - Medellín;800.000.000;147;3;5;2
Apartamento en Venta;El Poblado - Medellín;750.000.000;131;3;4;1
Apartamento en Venta;El Poblado - Medellín;800.000.000;145;3;3;1
Apartamento en Venta;El Poblado - Medellín;560.000.000;92;3;3;1
Apartamento en Venta;El Poblado - Medellín;1.550.000.000;263;4;5;3
Oficina en Venta;El Poblado - Medellín;1.300.000.000;400;;3;3
Casa en Venta;El Poblado - Medellín;1.036.000.000;250;4;5;2
Apartaestudio en Venta;El Poblado - Medellín;640.000.000;90;1;2;2
Apartamento en Venta;El Poblado - Medellín;360.000.000;72;3;2;1
Apartamento en Venta;El Poblado - Medellín;450.000.000;139;4;2;2
Apartamento en Venta;El Poblado - Medellín;1.170.000.000;154;2;3;2
Apartamento en Venta;El Poblado - Medellín;529.000.000;85;3;2;0
Apartamento en Venta;El Poblado - Medellín;520.000.000;83;2;2;2
Apartamento en Venta;El Poblado - Medellín;845.000.000;156;3;4;2
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;810.000.000;180;3;3;2
Apartamento en Venta;El Poblado - Medellín;670.000.000;111;3;3;2
Apartamento en Venta;El Poblado - Medellín;1.379.304.000;183;4;5;3
Apartamento en Venta;El Poblado - Medellín;560.000.000;75;2;3;1
Apartamento en Venta;El Poblado - Medellín;550.000.000;143;3;3;2
Casa en Venta;El Poblado - Medellín;750.000.000;236;4;4;
Apartamento en Venta;El Poblado - Medellín;430.000.000;170;3;3;2
Apartamento en Venta;El Poblado - Medellín;756.000.000;123;3;3;1
Apartamento en Venta;El Poblado - Medellín;790.000.000;146;4;5;2
Apartamento en Venta;El Poblado - Medellín;990.000.000;329;3;3;3
Apartamento en Venta;El Poblado - Medellín;422.000.000;89;3;2;2
Habitacion en Venta;El Poblado - Medellín;1.300.000.000;400;5;2;
Apartamento en Venta;El Poblado - Medellín;505.000.000;166;3;3;
Apartamento en Venta;El Poblado - Medellín;290.000.000;54;3;2;1
Apartamento en Venta;El Poblado - Medellín;1.700.000.000;198;3;4;3
Consultorio en Venta;El Poblado - Medellín;480.000.000;36;;1;
Apartamento en Venta;El Poblado - Medellín;440.000.000;72;3;2;1
Apartamento en Venta;El Poblado - Medellín;645.000.000;123;3;4;2
Consultorio en Venta;El Poblado - Medellín;460.000.000;40;;1;
Apartamento en Venta;El Poblado - Medellín;890.000.000;180;3;4;1
Apartaestudio en Venta;El Poblado - Medellín;320.000.000;52;1;2;1
Apartamento en Venta;El Poblado - Medellín;500.000.000;192;3;2;2
Apartamento en Venta;El Poblado - Medellín;699.000.000;150;3;4;2
Apartamento en Venta;El Poblado - Medellín;800.000.000;132;3;4;1
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;1.100.000.000;354;3;4;3
Apartamento en Venta;El Poblado - Medellín;780.000.000;226;4;5;2
Apartamento en Venta;El Poblado - Medellín;415.000.000;85;3;3;1
Apartamento en Venta;El Poblado - Medellín;850.000.000;136;4;5;2
Apartamento en Venta;El Poblado - Medellín;500.000.000;130;3;2;2
Apartamento en Venta;El Poblado - Medellín;780.000.000;121;3;5;1
Apartamento en Venta;El Poblado - Medellín;650.000.000;102;2;3;2
Apartamento en Venta;El Poblado - Medellín;500.000.000;94;2;2;1
Apartamento en Venta;El Poblado - Medellín;650.000.000;176;3;4;2
Apartamento en Venta;El Poblado - Medellín;290.000.000;70;2;2;1
Apartaestudio en Venta;El Poblado - Medellín;372.900.000;54;1;2;1
Apartaestudio en Venta;El Poblado - Medellín;320.000.000;40;1;1;1
Apartamento en Venta;El Poblado - Medellín;1.700.000.000;238;4;5;4
Apartamento en Venta;El Poblado - Medellín;1.035.000.000;142;3;4;2
Apartamento en Venta;El Poblado - Medellín;435.000.000;88;4;3;2
Apartamento en Venta;El Poblado - Medellín;660.000.000;109;3;3;0
Apartamento en Venta;El Poblado - Medellín;820.000.000;219;4;5;3
Apartamento en Venta;El Poblado - Medellín;560.000.000;92;3;2;1
Apartamento en Venta;El Poblado - Medellín;780.000.000;226;4;5;2
Apartamento en Venta;El Poblado - Medellín;990.000.000;329;3;4;3
Apartamento en Venta;El Poblado - Medellín;765.000.000;123;2;3;2
Apartamento en Venta;El Poblado - Medellín;830.000.000;136;4;5;4
Apartamento en Venta;El Poblado - Medellín;450.000.000;147;3;3;2
Apartamento en Venta;El Poblado - Medellín;1.120.000.000;199;4;5;2
Apartamento en Venta;El Poblado - Medellín;3.600.000.000;509;3;3;3
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;1.300.000.000;220;3;5;3
Apartamento en Venta;El Poblado - Medellín;530.000.000;63;1;2;2
Casa en Venta;El Poblado - Medellín;820.000.000;250;4;6;4
Oficina en Venta;El Poblado - Medellín;360.000.000;37;;1;
Apartamento en Venta;El Poblado - Medellín;550.000.000;143;4;4;
Apartamento en Venta;El Poblado - Medellín;460.000.000;91;3;2;2
Apartamento en Venta;El Poblado - Medellín;1.160.000.000;191;4;5;2
Apartamento en Venta;El Poblado - Medellín;850.000.000;340;4;5;2
Apartamento en Venta;El Poblado - Medellín;495.000.000;117;3;2;2
Oficina en Venta;El Poblado - Medellín;1.196.176.000;172;;2;
Casa en Venta;El Poblado - Medellín;950.000.000;220;4;5;2
Apartamento en Venta;El Poblado - Medellín;498.000.000;87;3;3;2
Apartamento en Venta;El Poblado - Medellín;830.000.000;184;4;4;2
